code,name,gold,silver,bronze
MAR,EL KAJOUI Munir,0,0,1
MAR,EL KHANNOUSS Bilal,0,0,1
MAR,EL OUAHDI Zakaria,0,0,1
MAR,EZZALZOULI Abde,0,0,1
MAR,GHANIMI Rachid,0,0,1
MAR,HAKIMI Achraf,0,0,1
MAR,KECHTA Yassine,0,0,1
MAR,MANAOUT Haytam,0,0,1
MAR,MAOUHOUB Mehdi,0,0,1
MAR,NAKACH Akram,0,0,1
MAR,RAHIMI Soufiane,0,0,1
MAR,RICHARDSON Amir,0,0,1
MAR,TAHIF Adil,0,0,1
MAR,TARGHALLINE Oussama,0,0,1
MAS,CHIA Aaron,0,0,1
MAS,LEE Zii Jia,0,0,1
MAS,SOH Wooi Yik,0,0,1
MDA,OSMANOV Adil,0,0,1
MDA,TARNOVSCHI Serghei,0,0,1
MDA,VIERU Denis,0,0,1
MEX,RUIZ Angela,0,0,1
MEX,VALENCIA Alejandra,0,0,1
MEX,VAZQUEZ Ana,0,0,1
NED,CORBEAU Caspar,0,0,1
NED,LAMMERTS Annelous,0,0,1
NED,SCHOUTEN Tes,0,0,1
NED,van BELLE Lisa,0,0,1
NED,van der DUIN Maike,0,0,1
NED,van der VLEUTEN Maikel,0,0,1
NED,van DORP Simon,0,0,1
NED,van OPZEELAND Luuc,0,0,1
NOR,HOEST Line Flem,0,0,1
NZL,DAWSON Erica,0,0,1
NZL,GOWLER Jackie,0,0,1
NZL,SPOORS Phoebe,0,0,1
NZL,WADDY Davina,0,0,1
NZL,WILKINSON Micah,0,0,1
NZL,WILLIAMS Kerri,0,0,1
PER,PESCHIERA Stefano,0,0,1
PHI,PETECIO Nesthy,0,0,1
PHI,VILLEGAS Aira,0,0,1
POL,BARANSKI Fabian,0,0,1
POL,BISKUP Mateusz,0,0,1
POL,CZAJA Dominik,0,0,1
POL,JARECKA Aleksandra,0,0,1
POL,KACZMAREK Natalia,0,0,1
POL,KALUCKA Aleksandra,0,0,1
POL,KLASIK Alicja,0,0,1
POL,KNAPIK-MIAZGA Renata,0,0,1
POL,SWATOWSKA-WENGLARCZYK Martyna,0,0,1
POL,SWIATEK Iga,0,0,1
POL,ZIETARSKI Miroslaw,0,0,1
POR,SAMPAIO Patricia,0,0,1
PRK,CHOE Hyo Gyong,0,0,1
PRK,PANG Cholmi,0,0,1
PRK,RI Se Ung,0,0,1
RSA,BROWN Ronald,0,0,1
RSA,DAVIDS Selvyn,0,0,1
RSA,DAVIDS Zain,0,0,1
RSA,GROBBELAAR Christie,0,0,1
RSA,HATHERLY Alan,0,0,1
RSA,LEYDS Tristan,0,0,1
RSA,NORTJE Quewin,0,0,1
RSA,OOSTHUIZEN Ryan,0,0,1
RSA,PRETORIUS Tiaan,0,0,1
RSA,SOYIZWAPI Siviwe,0,0,1
RSA,SPECMAN Rosko,0,0,1
RSA,van WYK Shilton,0,0,1
RSA,VISSER Impi,0,0,1
RSA,WILLIAMS Shaun,0,0,1
SGP,MAEDER Maximilian,0,0,1
SUI,BRUNNER Nina,0,0,1
SUI,CLAESSENS Zoe,0,0,1
SUI,GOGNIAT Audrey,0,0,1
SUI,GULICH Andrin,0,0,1
SUI,HUEBERLI Tanja,0,0,1
SUI,MITYUKOV Roman,0,0,1
SUI,ROEOESLI Roman,0,0,1
SVK,BENUS Matej,0,0,1
SWE,BABULFATH Tara,0,0,1
SWE,DAHLBERG Anton,0,0,1
SWE,KARLSSON Lovisa,0,0,1
SWE,RISSVEDS Jenny,0,0,1
THA,KHAMBAO Surodchana,0,0,1
THA,SUWANNAPHENG Janjaem,0,0,1
TJK,BOLTAEV Davlat,0,0,1
TJK,MAKHMADBEKOV Somon,0,0,1
TJK,RAKHIMOV Temur,0,0,1
TPE,CHEN Nien Chin,0,0,1
TPE,KUO Hsing-Chun,0,0,1
TPE,LEE Meng Yuan,0,0,1
TPE,TANG Chia-Hung,0,0,1
TPE,WU Shih Yi,0,0,1
TUN,JENDOUBI Mohamed Khalil,0,0,1
TUR,CAVUSOGLU TOSUN Buse,0,0,1
TUR,GAZOZ Mete,0,0,1
TUR,TUMER Berkim,0,0,1
TUR,YILDIRMIS Abdullah,0,0,1
TUR,YILDIZ KAHRAMAN Esra,0,0,1
UKR,BELENIUK Zhan,0,0,1
UKR,GERASHCHENKO Iryna,0,0,1
UKR,KOKHAN Mykhaylo,0,0,1
USA,ANDERSON Matthew,0,0,1
USA,AVERILL Taylor,0,0,1
USA,BARROWS Ian,0,0,1
USA,BROOKS Aaron Marquel,0,0,1
USA,BROWN Brittany,0,0,1
USA,BURDICK Cierra,0,0,1
USA,CANETT Kayla,0,0,1
USA,CARLSON Chris,0,0,1
USA,CHATAIN Peter,0,0,1
USA,CHRISTENSON Micah,0,0,1
USA,DEAN Clark,0,0,1
USA,DEFALCO Torey,0,0,1
USA,DOYLE Lauren,0,0,1
USA,FISHER Grant,0,0,1
USA,FRITZ Taylor,0,0,1
USA,HAMBY Dearica,0,0,1
USA,HENKEN Hans,0,0,1
USA,HOLLINGSWORTH Henry,0,0,1
USA,HOLT Maxwell,0,0,1
USA,HONG Asher,0,0,1
USA,HOWARD Rhyne,0,0,1
USA,HUSTON Nyjah,0,0,1
USA,ITKIN Nick,0,0,1
USA,JAESCHKE Thomas,0,0,1
USA,JENDRYK II Jeffrey,0,0,1
USA,JONES Omari,0,0,1
USA,JUDA Paul,0,0,1
USA,KAUFHOLD Casey,0,0,1
USA,KELTER Alev,0,0,1
USA,KERLEY Fred,0,0,1
USA,KIRSHE Kristi,0,0,1
USA,LEIBFARTH Evy,0,0,1
USA,LEVY Sarah,0,0,1
USA,MA'A Micah,0,0,1
USA,MAHER Ilona,0,0,1
USA,MALONE Brody,0,0,1
USA,MAROULIS Helen Louise,0,0,1
USA,MILNE Rielly,0,0,1
USA,MORRIS Hampton,0,0,1
USA,MUAGUTUTIA Garrett,0,0,1
USA,NUGUSE Yared,0,0,1
USA,OLSEN Alena,0,0,1
USA,OLSON Evan,0,0,1
USA,PAUL Tommy,0,0,1
USA,QUINTON Pieter,0,0,1
USA,RAMSEY Ariana,0,0,1
USA,RICHARD Frederick,0,0,1
USA,ROVETTI Steph,0,0,1
USA,RUSHER Nick,0,0,1
USA,RUSSELL Aaron,0,0,1
USA,SEDRICK Alex,0,0,1
USA,SHOJI Erik,0,0,1
USA,SMITH David,0,0,1
USA,SULLIVAN Sammy,0,0,1
USA,TABASH Christian,0,0,1
USA,TAPPER Naya,0,0,1
USA,TEACHOUT Kristina,0,0,1
USA,van LITH Hailey,0,0,1
USA,WATSON Sam,0,0,1
USA,WEYANT Emma,0,0,1
UZB,ABDULLAEV Gulomjon,0,0,1
UZB,TUROBOYEV Muzaffarbek,0,0,1
UZB,YUSUPOV Alisher,0,0,1
ZAM,SAMUKONGA Muzala,0,0,1
